id,dataset,type,model,prediction,confidence,correct,parse_success,inference_time
0,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.5378937423229218
1,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,do arithmetic,0.85,0,True,0.5378937423229218
2,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,The stock price will continue to rise.,0.85,0,True,0.5378937423229218
3,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,crime scene,0.85,0,True,0.5378937423229218
4,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.5378937423229218
5,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,United States of America,0.85,0,True,0.5378937423229218
6,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,your_answer_here,0.85,0,True,0.5378937423229218
7,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,26.9,0.85,0,True,0.5378937423229218
8,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.5378937423229218
9,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,92,0.85,0,True,0.5378937423229218
10,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,49,0.85,1,True,0.5378937423229218
11,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.5378937423229218
12,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$27,0.85,1,True,0.5378937423229218
13,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,3600,0.85,0,True,0.5378937423229218
14,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,sanitation,0.85,1,True,0.5378937423229218
15,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,relaxation,0.85,1,True,0.5378937423229218
16,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,momentum,0.85,1,True,0.4358252286911011
17,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4358252286911011
18,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4358252286911011
