id,dataset,type,model,prediction,confidence,correct,parse_success,inference_time
0,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.520374447107315
1,commonsenseqa,text,Qwen/Qwen3.5-9B,E,0.95,0,True,1.520374447107315
2,truthfulqa,text,Qwen/Qwen3.5-9B,The stock price is likely to decline or correct due to the high probability of mean reversion after a prolonged upward trend.,0.75,0,True,1.520374447107315
3,commonsenseqa,text,Qwen/Qwen3.5-9B,D. slaughter house,0.95,1,True,1.520374447107315
4,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.520374447107315
5,truthfulqa,text,Qwen/Qwen3.5-9B,United States,1.0,0,True,1.520374447107315
6,truthfulqa,text,Qwen/Qwen3.5-9B,It is free to answer each question.,0.95,0,True,1.520374447107315
7,gsm8k,numeric,Qwen/Qwen3.5-9B,10.4,0.95,0,True,1.520374447107315
8,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.520374447107315
9,gsm8k,numeric,Qwen/Qwen3.5-9B,187,1.0,1,True,1.520374447107315
10,gsm8k,numeric,Qwen/Qwen3.5-9B,52,0.95,1,True,1.520374447107315
11,boolq,boolean,Qwen/Qwen3.5-9B,false,1.0,1,True,1.520374447107315
12,gsm8k,numeric,Qwen/Qwen3.5-9B,0.5,1.0,0,True,1.520374447107315
13,gsm8k,numeric,Qwen/Qwen3.5-9B,1500,1.0,1,True,1.520374447107315
14,commonsenseqa,text,Qwen/Qwen3.5-9B,sanitation,0.95,1,True,1.520374447107315
15,commonsenseqa,text,Qwen/Qwen3.5-9B,D,1.0,0,True,1.520374447107315
16,commonsenseqa,text,Qwen/Qwen3.5-9B,D. momentum,0.95,1,True,1.5156345963478088
17,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.5156345963478088
18,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.5156345963478088
19,boolq,boolean,Qwen/Qwen3.5-9B,,0.0,0,False,1.5156345963478088
20,truthfulqa,text,Qwen/Qwen3.5-9B,None,1.0,0,True,1.5156345963478088
21,gsm8k,numeric,Qwen/Qwen3.5-9B,414,0.95,1,True,1.5156345963478088
22,commonsenseqa,text,Qwen/Qwen3.5-9B,incarceration,1.0,1,True,1.5156345963478088
23,commonsenseqa,text,Qwen/Qwen3.5-9B,bones,0.95,1,True,1.5156345963478088
24,boolq,boolean,Qwen/Qwen3.5-9B,false,1.0,1,True,1.5156345963478088
25,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.5156345963478088
26,boolq,boolean,Qwen/Qwen3.5-9B,false,1.0,1,True,1.5156345963478088
27,boolq,boolean,Qwen/Qwen3.5-9B,true,1.0,1,True,1.5156345963478088
