id,dataset,type,model,prediction,confidence,correct,parse_success,inference_time
0,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
1,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
2,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
3,commonsenseqa,text,meta-llama/Llama-3.2-1B,needle,0.85,0,True,1.0761276930570602
4,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
5,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
6,truthfulqa,text,meta-llama/Llama-3.2-1B,The answer is 42,0.85,0,True,1.0761276930570602
7,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
8,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
9,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
10,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
11,boolq,boolean,meta-llama/Llama-3.2-1B,true,0.85,0,True,1.0761276930570602
12,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
13,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
14,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
15,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0761276930570602
16,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
17,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
18,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
19,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
20,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
21,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
22,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
23,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
24,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
25,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
26,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
27,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
28,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
29,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,1.0765479058027267
30,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.65,0,True,1.0765479058027267
31,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.95,0,True,1.0765479058027267
32,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
33,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
34,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
35,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
36,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
37,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
38,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
39,commonsenseqa,text,meta-llama/Llama-3.2-1B,hardware store,0.85,0,True,0.9829687774181366
40,gsm8k,numeric,meta-llama/Llama-3.2-1B,2,0.85,0,True,0.9829687774181366
41,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
42,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
43,boolq,boolean,meta-llama/Llama-3.2-1B,false,0.15,0,True,0.9829687774181366
44,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
45,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
46,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
47,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9829687774181366
48,boolq,boolean,meta-llama/Llama-3.2-1B,true,0.85,1,True,0.9915070533752441
49,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
50,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
51,boolq,boolean,meta-llama/Llama-3.2-1B,true,0.85,0,True,0.9915070533752441
52,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
53,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,1.0,0,True,0.9915070533752441
54,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
55,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
56,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
57,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
58,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
59,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
60,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
61,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
62,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
63,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9915070533752441
64,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
65,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
66,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
67,commonsenseqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
68,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
69,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
70,boolq,boolean,meta-llama/Llama-3.2-1B,your_answer_here,0.95,0,True,0.9456485658884048
71,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
72,truthfulqa,text,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
73,gsm8k,numeric,meta-llama/Llama-3.2-1B,your_answer_here,0.85,0,True,0.9456485658884048
