model,dataset,accuracy,avg_confidence,overconfidence_gap,ece,n_samples
deepseek-ai/deepseek-llm-7b-chat,boolq,0.7588972431077694,0.8674686716791978,0.10857142857142843,0.1160902255639095,1995
deepseek-ai/deepseek-llm-7b-chat,commonsenseqa,0.6565074135090609,0.8687455871969874,0.2122381736879264,0.21223817368792633,1214
deepseek-ai/deepseek-llm-7b-chat,truthfulqa,0.452760736196319,0.8678527607361961,0.4150920245398771,0.4187730061349691,815
deepseek-ai/deepseek-llm-7b-chat,gsm8k,0.38648443432042523,0.8534982102180279,0.4670137758976026,0.46701377589760246,1317
google/gemma-7b-it,boolq,0.764,0.8513249999999998,0.08732499999999976,0.08767499999999977,2000
google/gemma-7b-it,commonsenseqa,0.47092547092547093,0.8535135135135135,0.3825880425880425,0.3825880425880423,1221
google/gemma-7b-it,truthfulqa,0.36687116564417177,0.8507607361963189,0.4838895705521471,0.4851165644171777,815
google/gemma-7b-it,gsm8k,0.5094768764215315,0.8499999999999998,0.34052312357846826,0.3405231235784685,1319
mistralai/Mistral-7B-Instruct-v0.3,boolq,0.8515,0.9172649999999999,0.06576499999999985,0.06576499999999987,2000
mistralai/Mistral-7B-Instruct-v0.3,commonsenseqa,0.7262295081967213,0.8501639344262294,0.12393442622950812,0.12409836065573768,1220
mistralai/Mistral-7B-Instruct-v0.3,truthfulqa,0.5612745098039216,0.8855147058823528,0.32424019607843124,0.32424019607843124,816
mistralai/Mistral-7B-Instruct-v0.3,gsm8k,0.4632297194844579,0.8513343442001513,0.3881046247156934,0.38810462471569357,1319
Qwen/Qwen3.5-9B,boolq,0.8628944504896626,0.9828781284004351,0.11998367791077247,0.12052774755168658,1838
Qwen/Qwen3.5-9B,commonsenseqa,0.6903171953255426,0.9516527545909849,0.2613355592654423,0.26133555926544244,1198
Qwen/Qwen3.5-9B,truthfulqa,0.5771144278606966,0.947363184079602,0.3702487562189054,0.37024875621890535,804
Qwen/Qwen3.5-9B,gsm8k,0.5728527607361963,0.972292944785276,0.39944018404907966,0.3994401840490799,1304
TinyLlama/TinyLlama-1.1B-Chat-v1.0,boolq,0.42282507015902715,0.6466739008419082,0.22384883068288108,0.3936523854069224,1069
TinyLlama/TinyLlama-1.1B-Chat-v1.0,commonsenseqa,0.14055636896046853,0.6145827232796486,0.47402635431918005,0.4754904831625183,683
TinyLlama/TinyLlama-1.1B-Chat-v1.0,truthfulqa,0.18494271685761046,0.7603109656301145,0.575368248772504,0.5941898527004909,611
TinyLlama/TinyLlama-1.1B-Chat-v1.0,gsm8k,0.08394833948339483,0.8138284132841327,0.7298800738007378,0.7298800738007379,1084
Qwen/Qwen2-1.5B-Instruct,boolq,0.7545,0.8499999999999998,0.09549999999999981,0.09549999999999981,2000
Qwen/Qwen2-1.5B-Instruct,commonsenseqa,0.6858080393765381,0.8498769483182936,0.16406890894175552,0.16406890894175546,1219
Qwen/Qwen2-1.5B-Instruct,truthfulqa,0.3217821782178218,0.8491336633663366,0.5273514851485148,0.5273514851485146,808
Qwen/Qwen2-1.5B-Instruct,gsm8k,0.4239558707643814,0.8470212765957444,0.42306540583136304,0.42306540583136304,1269
HuggingFaceH4/zephyr-7b-beta,boolq,0.7143571785892946,0.8950475237618809,0.1806903451725863,0.18489244622311143,1999
HuggingFaceH4/zephyr-7b-beta,commonsenseqa,0.59439406430338,0.846356141797197,0.25196207749381694,0.25435284418796356,1213
HuggingFaceH4/zephyr-7b-beta,truthfulqa,0.6300505050505051,0.8900378787878787,0.2599873737373736,0.26124999999999976,792
HuggingFaceH4/zephyr-7b-beta,gsm8k,0.46474601971190294,0.8526838514025774,0.3879378316906745,0.38793783169067464,1319
meta-llama/Llama-3.2-1B,boolq,0.116,0.8346394999999998,0.7186394999999998,0.7264894999999998,2000
meta-llama/Llama-3.2-1B,commonsenseqa,0.04586404586404586,0.8456183456183455,0.7997542997542996,0.8019656019656018,1221
meta-llama/Llama-3.2-1B,truthfulqa,0.020833333333333332,0.8483210784313723,0.8274877450980389,0.827487745098039,816
meta-llama/Llama-3.2-1B,gsm8k,0.02577710386656558,0.8488476118271415,0.8230705079605759,0.8261031084154662,1319
